x,y,psi,v,cte,epsi,delta,a
6.66121,0.110521,0.0344663,33.4068,0.274286,0.0241431,0.00922074,0.636826
6.66143,0.0997472,0.0317245,33.407,0.292345,0.0237752,0.00881699,0.636789
6.66327,0.0997854,0.035674,33.4158,0.206819,0.00364195,0.0119737,0.633356
6.6635,0.0954195,0.0324278,33.4166,0.308193,0.0102986,0.0101008,0.633053
6.65917,0.129478,0.0316244,33.3987,0.388467,0.0210868,0.00378859,0.64014
6.65863,0.109207,0.0249346,33.3941,0.416534,0.0241048,0.00180141,0.641968
6.66052,0.0409718,0.0119868,33.3993,0.408126,0.0215552,0.00278507,0.6399
6.66103,0.0194832,0.0110977,33.4013,0.271787,-0.000341022,0.00564747,0.639142
6.66128,0.0301237,0.00678101,33.4026,0.332782,0.00939858,0.000420502,0.638565
6.66128,0.061086,0.00490024,33.4038,0.341337,0.0181827,-0.00623506,0.638069
6.66185,0.0045487,-0.00735123,33.405,0.297368,0.0168712,-0.00664338,0.637611
6.66162,-0.0674471,-0.0193787,33.4057,0.228601,0.0110869,-0.00430218,0.637334
6.6617,-0.071866,-0.023809,33.4063,0.129349,0.0103718,-0.00711515,0.637095
6.66205,-0.0465412,-0.0235774,33.4068,0.0375452,0.0115073,-0.011141,0.636965
6.6618,-0.0769717,-0.0237967,33.4071,-0.2074,-0.0164053,-0.00625636,0.636779
6.66108,-0.120518,-0.0283787,33.4072,-0.203696,-0.0183374,-0.00268345,0.636755
6.66197,-0.0676824,-0.0218205,33.4073,-0.205455,-0.0113033,-0.00621863,0.636719
6.66231,-0.0290308,-0.0165877,33.4074,-0.214686,-0.00661851,-0.00845546,0.636696
6.66166,-0.0914711,-0.0209113,33.4074,-0.23718,-0.0130871,-0.00153472,0.636667
6.66162,-0.0914704,-0.0178731,33.4072,-0.247188,-0.013825,0.000898117,0.636719
6.66232,-0.0166031,0.000293834,33.4072,-0.37929,-0.0332609,0.00299601,0.636728
6.66233,0.00971618,0.00731727,33.4072,-0.221716,-0.0220957,0.00424377,0.636738
6.66224,0.0324117,0.0127979,33.4071,-0.110794,-0.0132855,0.00485864,0.636746
6.66213,0.04591,0.0174265,33.4071,-0.00165862,-0.00479349,0.00632051,0.636754
6.66207,0.0525616,0.0209967,33.407,0.0840564,0.00217709,0.00807335,0.63674
6.66189,0.0683755,0.0248885,33.407,0.141224,0.00845175,0.0085601,0.636729
6.66162,0.087336,0.0404087,33.4069,0.118438,-0.0329482,0.017835,0.637114
6.66152,0.0926008,0.0408993,33.4069,0.387826,-0.0100226,0.0173523,0.637089
6.65892,0.192898,0.0494454,33.4062,0.60266,0.0232099,0.00751213,0.637172
6.659,0.187677,0.0458872,33.4057,0.684858,0.0383429,0.00553132,0.637253
6.66153,0.0812623,0.0316921,33.4061,0.689295,0.0411328,0.0118652,0.636928
6.66188,0.059837,0.0285104,33.4065,0.635408,0.0475213,0.0128803,0.636526
6.65824,0.128279,0.0374073,33.3943,0.574876,0.0584097,0.00861876,0.641306
6.66553,0.13947,0.0406468,33.4305,0.468259,0.0624942,0.00936229,0.62655
6.66014,0.0932086,0.0469143,33.4004,0.205576,-0.0150848,0.0220696,0.638836
6.65804,0.101207,0.0510456,33.3901,0.504134,0.025256,0.0240511,0.642131
6.65566,0.238596,0.0696644,33.3986,0.628145,0.0637875,0.0160945,0.63828
6.65471,0.260001,0.0786149,33.3985,0.647733,0.0865541,0.0196991,0.637194
6.65788,0.174021,0.0783244,33.3979,0.59817,0.0880357,0.033781,0.635659
6.65654,0.212976,0.0943569,33.3975,1.03065,0.0164815,0.0401381,0.633508
6.64807,0.364981,0.11969,33.3926,1.43498,0.124999,0.0351044,0.630537
6.64156,0.433375,0.145668,33.3833,1.44229,0.197724,0.0445005,0.627981
6.64397,0.379006,0.162349,33.376,1.23976,0.216047,0.0669465,0.626299
