x,y,psi,v,cte,epsi,delta,a
6.48134,1.17971,0.333192,33.1284,2.32935,0.220907,0.0682653,0.745001
6.50336,1.06522,0.28885,33.1251,2.48907,0.223216,0.0521949,0.746996
6.55784,0.727451,0.216229,33.1314,2.54758,0.205207,0.0513988,0.745147
6.57973,0.557201,0.171514,33.145,2.31987,0.162387,0.0442563,0.740823
6.58396,0.549125,0.135571,33.1614,2.29009,0.180206,0.016639,0.73432
6.59468,0.473413,0.0981104,33.1804,2.12321,0.183145,-0.000726105,0.726966
6.61969,0.178486,0.0380888,33.2201,1.54322,0.137401,0.000674812,0.711238
6.63,-0.00780259,-0.00161861,33.2561,1.21745,0.114297,6.45093e-06,0.69693
6.63766,0.007263,-0.0181718,33.2922,0.788169,0.104325,-0.0158192,0.682957
6.64381,6.95203e-05,-0.0430657,33.3212,0.56666,0.136249,-0.0345896,0.67255
6.64556,-0.170604,-0.0669089,33.3409,-0.0396626,0.0864895,-0.0252084,0.664315
6.64054,-0.373162,-0.0864326,33.3619,-0.632667,0.0258842,-0.00705251,0.655077
6.64922,-0.272224,-0.0800011,33.3763,-0.781916,0.0525709,-0.0187598,0.650142
6.65752,-0.076226,-0.0465013,33.3875,-1.28469,0.0224774,-0.0245698,0.646108
6.65613,-0.202793,-0.0465041,33.3951,-1.53582,-0.025927,-0.00350162,0.641848
6.65497,-0.265633,-0.0332142,33.4014,-1.61082,-0.0673649,0.0175988,0.638678
6.66173,-0.0378777,0.00796511,33.4051,-1.48714,-0.0651561,0.0126775,0.637491
6.65883,0.190338,0.0480383,33.4054,-1.19768,-0.0562032,0.00681075,0.637494
6.66048,0.13713,0.0516007,33.4061,-0.894,-0.0663534,0.0185157,0.637398
6.6619,0.0736797,0.051749,33.4075,-0.468306,-0.0721523,0.0291866,0.637432
6.65898,0.200271,0.0658814,33.4077,-0.0797446,-0.0535964,0.0194474,0.636958
6.65359,0.315571,0.0572541,33.4064,0.378628,0.0590369,-0.006655,0.636495
6.65841,0.210334,0.0374319,33.4065,0.205482,0.0161065,-0.0050087,0.635734
6.66206,-0.0541849,-0.00537328,33.4068,0.125748,-0.0420427,0.00470721,0.635024
6.66209,-0.0541854,-0.0225767,33.4067,0.169709,-0.0609637,-0.00906852,0.632189
6.66205,0.050923,-0.0416279,33.4058,0.277747,-0.0634114,-0.0418018,0.626456
6.66114,-0.0980942,-0.0903576,33.4038,0.336288,-0.0827086,-0.0560454,0.62381
6.64213,-0.451482,-0.170499,33.3926,0.334139,-0.116648,-0.061374,0.627097
6.62529,-0.604427,-0.226631,33.3768,0.720785,-0.0304491,-0.0807722,0.612928
6.61572,-0.661176,-0.279803,33.3613,-0.279773,-0.187099,-0.113884,0.622988
6.58257,-0.867616,-0.340474,33.3342,-0.636524,-0.252172,-0.127794,0.640939
6.50737,-1.21543,-0.418242,33.2797,-0.800307,-0.300503,-0.131,0.661371
6.46481,-1.35825,-0.458839,33.2342,-1.15446,-0.332446,-0.138961,0.684815
6.44738,-1.3888,-0.484426,33.1892,-1.54389,-0.322804,-0.154197,0.711174
6.41901,-1.46886,-0.497016,33.1536,-1.68881,-0.275045,-0.150319,0.729428
6.36102,-1.62016,-0.499258,33.0813,-2.01638,-0.246956,-0.125278,0.761753
6.35952,-1.57606,-0.469514,33.0157,-2.40245,-0.239158,-0.108768,0.790123
6.42237,-1.31802,-0.400725,32.9967,-2.78609,-0.218741,-0.0984373,0.799664
6.46131,-1.14742,-0.342017,33.0048,-3.06467,-0.224822,-0.0806421,0.797033
6.48566,-1.04061,-0.278615,33.0225,-3.13089,-0.216039,-0.0478324,0.790381
6.52269,-0.855255,-0.212035,33.0509,-3.18559,-0.228551,-0.0259485,0.778731
6.5755,-0.509852,-0.12125,33.1057,-2.99142,-0.218827,-0.0116295,0.756748
6.60302,-0.277541,-0.0557246,33.1609,-2.58067,-0.183521,0.00185955,0.734822
6.61942,-0.124717,0.00441955,33.2131,-2.07212,-0.173154,0.0245326,0.714156
6.62834,0.0199755,0.0492747,33.2486,-1.39141,-0.140696,0.0363012,0.700422
6.63119,0.263919,0.102757,33.2902,-0.67845,-0.0976633,0.0383882,0.68423
6.63028,0.390858,0.130909,33.3197,-0.0758956,-0.0621145,0.0397404,0.67274
6.63367,0.413716,0.142653,33.3429,0.54139,-0.0328756,0.0453498,0.663988
6.63682,0.428637,0.145153,33.3627,1.03555,-0.00187964,0.0448674,0.656191
6.63527,0.489322,0.145353,33.3778,1.49874,0.039353,0.0348927,0.649681
6.63711,0.484273,0.134453,33.3842,1.75602,0.0661275,0.0270086,0.646739
6.64704,0.376954,0.109227,33.3933,1.80515,0.062654,0.0247248,0.643141
6.65324,0.291949,0.0841056,33.3993,1.90544,0.0814669,0.0187758,0.640362
6.6553,0.26733,0.0611927,33.4033,1.85356,0.103436,0.00452839,0.638311
6.65842,0.203063,0.0376814,33.4056,1.68102,0.1104,-0.00360026,0.637289
6.66227,0.0489906,0.004249,33.4079,1.35299,0.102383,-0.00474344,0.636324
6.66259,-0.0389518,-0.0103005,33.409,1.04391,0.0667122,-0.00177153,0.635896
6.66282,-0.0513232,-0.0209784,33.4106,0.767694,0.0756713,-0.00826448,0.635289
6.66309,-0.0191682,-0.021004,33.4109,0.476674,0.08025,-0.0136305,0.635267
6.66199,-0.0894109,-0.0262141,33.4087,0.0963813,0.0679281,-0.00612379,0.635493
6.6607,-0.14745,-0.0242626,33.4081,-0.200482,0.0534854,0.00509117,0.634573
6.66223,-0.0662517,0.00114204,33.4082,-0.482146,0.048969,0.01193,0.633403
6.66214,0.0550781,0.0327449,33.407,-0.639901,0.0501145,0.0170622,0.632895
6.65896,0.184535,0.0708396,33.4041,-0.985814,-0.0248332,0.0260358,0.629643
6.65845,0.184515,0.0963965,33.4011,-0.549082,0.0323185,0.046507,0.625487
6.65354,0.28143,0.137433,33.3957,-0.268671,0.081954,0.0632428,0.623566
6.63566,0.501928,0.201665,33.3807,-0.157596,0.103386,0.0779179,0.623714
6.61345,0.681217,0.254332,33.3624,0.194694,0.163184,0.0900951,0.631871
6.58673,0.837133,0.307942,33.3335,0.454662,0.191337,0.106835,0.646794
